process,temp,supply,control,corner name,gmn (mS),gmp (mS),I_left (mA),I_right (mA),I_tail (mA),nmos_sat_check,pmos_sat_check,tail_sat_check,vn,vp,differential swing,Oscillation Status,freq (GHZ),failed corners
ff,-40,1.0,1.1,"ff,-40,1.0",2.162507e+01,1.365826e+01,1.037375e+00,1.037375e+00,2.074750e+00,True,True,True,7.937099e-01,7.937099e-01,3.403858,True,2.631447,
ff,-40,1.0,1.2,"ff,-40,1.0",2.162507e+01,1.365826e+01,1.037375e+00,1.037375e+00,2.074750e+00,True,True,True,7.937099e-01,7.937099e-01,3.433212,True,2.655472,
ff,-40,1.0,1.3,"ff,-40,1.0",2.162507e+01,1.365826e+01,1.037375e+00,1.037375e+00,2.074750e+00,True,True,True,7.937099e-01,7.937099e-01,3.452406,True,2.667998,
ff,-40,1.0,1.4,"ff,-40,1.0",2.162507e+01,1.365826e+01,1.037375e+00,1.037375e+00,2.074750e+00,True,True,True,7.937099e-01,7.937099e-01,3.461366,True,2.673719,
ff,-40,1.0,1.5,"ff,-40,1.0",2.162507e+01,1.365826e+01,1.037375e+00,1.037375e+00,2.074750e+00,True,True,True,7.937099e-01,7.937099e-01,3.464442,True,2.674557,
ff,-40,1.0,1.6,"ff,-40,1.0",2.162507e+01,1.365826e+01,1.037375e+00,1.037375e+00,2.074750e+00,True,True,True,7.937099e-01,7.937099e-01,3.465414,True,2.674977,
ff,-40,1.0,1.7,"ff,-40,1.0",2.162507e+01,1.365826e+01,1.037375e+00,1.037375e+00,2.074750e+00,True,True,True,7.937099e-01,7.937099e-01,3.465794,True,2.675981,
ff,-40,1.0,1.8,"ff,-40,1.0",2.162507e+01,1.365826e+01,1.037375e+00,1.037375e+00,2.074750e+00,True,True,True,7.937099e-01,7.937099e-01,3.465942,True,2.675629,
ff,-40,1.1,0.0,"ff,-40,1.1",2.378983e+01,1.492332e+01,1.182823e+00,1.182823e+00,2.365646e+00,True,True,True,7.998331e-01,7.998331e-01,3.098314,True,2.251201,
ff,-40,1.1,0.1,"ff,-40,1.1",2.378983e+01,1.492332e+01,1.182823e+00,1.182823e+00,2.365646e+00,True,True,True,7.998331e-01,7.998331e-01,3.084094,True,2.284412,
ff,-40,1.1,0.2,"ff,-40,1.1",2.378983e+01,1.492332e+01,1.182823e+00,1.182823e+00,2.365646e+00,True,True,True,7.998331e-01,7.998331e-01,3.069838,True,2.319462,
ff,-40,1.1,0.3,"ff,-40,1.1",2.378983e+01,1.492332e+01,1.182823e+00,1.182823e+00,2.365646e+00,True,True,True,7.998331e-01,7.998331e-01,3.066718,True,2.357165,
ff,-40,1.1,0.4,"ff,-40,1.1",2.378983e+01,1.492332e+01,1.182823e+00,1.182823e+00,2.365646e+00,True,True,True,7.998331e-01,7.998331e-01,3.088236,True,2.388803,
ff,-40,1.1,0.5,"ff,-40,1.1",2.378983e+01,1.492332e+01,1.182823e+00,1.182823e+00,2.365646e+00,True,True,True,7.998331e-01,7.998331e-01,3.131028,True,2.418502,
ff,-40,1.1,0.6,"ff,-40,1.1",2.378983e+01,1.492332e+01,1.182823e+00,1.182823e+00,2.365646e+00,True,True,True,7.998331e-01,7.998331e-01,3.209132,True,2.441171,
ff,-40,1.1,0.7,"ff,-40,1.1",2.378983e+01,1.492332e+01,1.182823e+00,1.182823e+00,2.365646e+00,True,True,True,7.998331e-01,7.998331e-01,3.291774,True,2.4652,
ff,-40,1.1,0.8,"ff,-40,1.1",2.378983e+01,1.492332e+01,1.182823e+00,1.182823e+00,2.365646e+00,True,True,True,7.998331e-01,7.998331e-01,3.37216,True,2.49268,
ff,-40,1.1,0.9,"ff,-40,1.1",2.378983e+01,1.492332e+01,1.182823e+00,1.182823e+00,2.365646e+00,True,True,True,7.998331e-01,7.998331e-01,3.444664,True,2.52027,
ff,-40,1.1,1.0,"ff,-40,1.1",2.378983e+01,1.492332e+01,1.182823e+00,1.182823e+00,2.365646e+00,True,True,True,7.998331e-01,7.998331e-01,3.514062,True,2.55058,
ff,-40,1.1,1.1,"ff,-40,1.1",2.378983e+01,1.492332e+01,1.182823e+00,1.182823e+00,2.365646e+00,True,True,True,7.998331e-01,7.998331e-01,3.571114,True,2.579308,
ff,-40,1.1,1.2,"ff,-40,1.1",2.378983e+01,1.492332e+01,1.182823e+00,1.182823e+00,2.365646e+00,True,True,True,7.998331e-01,7.998331e-01,3.62058,True,2.606292,
ff,-40,1.1,1.3,"ff,-40,1.1",2.378983e+01,1.492332e+01,1.182823e+00,1.182823e+00,2.365646e+00,True,True,True,7.998331e-01,7.998331e-01,3.660154,True,2.62541,
ff,-40,1.1,1.4,"ff,-40,1.1",2.378983e+01,1.492332e+01,1.182823e+00,1.182823e+00,2.365646e+00,True,True,True,7.998331e-01,7.998331e-01,3.685552,True,2.636091,
ff,-40,1.1,1.5,"ff,-40,1.1",2.378983e+01,1.492332e+01,1.182823e+00,1.182823e+00,2.365646e+00,True,True,True,7.998331e-01,7.998331e-01,3.697594,True,2.641346,
ff,-40,1.1,1.6,"ff,-40,1.1",2.378983e+01,1.492332e+01,1.182823e+00,1.182823e+00,2.365646e+00,True,True,True,7.998331e-01,7.998331e-01,3.701948,True,2.641899,
ff,-40,1.1,1.7,"ff,-40,1.1",2.378983e+01,1.492332e+01,1.182823e+00,1.182823e+00,2.365646e+00,True,True,True,7.998331e-01,7.998331e-01,3.703276,True,2.642798,
