process,temp,supply,control,corner name,bgr_tran_02_sat_check,bgr_tran_13_sat_check,bgr_tran_14_sat_check,bgr_tran_15_sat_check,bgr_tran_16_sat_check,bgr_tran_17_sat_check,bgr_tran_18_sat_check,bgr_tran_19_sat_check,bgr_tran_20_sat_check,bgr_tran_21_sat_check,bgr_tran_22_sat_check,bgr_tran_23_sat_check,bgr_tran_24_sat_check,gmn (mS),gmp (mS),I_left (mA),I_right (mA),I_tail (mA),nmos_sat_check,pmos_sat_check,tail_sat_check,Power (mW),vn,vp,differential swing,Oscillation Status,freq (GHZ),failed corners
ff,-40,1.0,0.2,"ff,-40,1.0",True,True,True,False,True,True,True,True,True,True,True,True,True,2.162508e+01,1.365827e+01,1.037376e+00,1.037376e+00,2.074751e+00,True,True,True,4.9698,7.937099e-01,7.937099e-01,2.967194,True,2.287602,
ff,-40,1.0,0.3,"ff,-40,1.0",True,True,True,False,True,True,True,True,True,True,True,True,True,2.162508e+01,1.365827e+01,1.037376e+00,1.037376e+00,2.074751e+00,True,True,True,4.9698,7.937099e-01,7.937099e-01,2.963316,True,2.324138,
ff,-40,1.0,0.4,"ff,-40,1.0",True,True,True,False,True,True,True,True,True,True,True,True,True,2.162508e+01,1.365827e+01,1.037376e+00,1.037376e+00,2.074751e+00,True,True,True,4.9698,7.937099e-01,7.937099e-01,2.985214,True,2.357994,
ff,-40,1.0,0.5,"ff,-40,1.0",True,True,True,False,True,True,True,True,True,True,True,True,True,2.162508e+01,1.365827e+01,1.037376e+00,1.037376e+00,2.074751e+00,True,True,True,4.9698,7.937099e-01,7.937099e-01,3.040516,True,2.386175,
ff,-40,1.0,0.6,"ff,-40,1.0",True,True,True,False,True,True,True,True,True,True,True,True,True,2.162508e+01,1.365827e+01,1.037376e+00,1.037376e+00,2.074751e+00,True,True,True,4.9698,7.937099e-01,7.937099e-01,3.118,True,2.411509,
ff,-40,1.0,0.7,"ff,-40,1.0",True,True,True,False,True,True,True,True,True,True,True,True,True,2.162508e+01,1.365827e+01,1.037376e+00,1.037376e+00,2.074751e+00,True,True,True,4.9698,7.937099e-01,7.937099e-01,3.1971,True,2.439469,
ff,-40,1.0,0.8,"ff,-40,1.0",True,True,True,False,True,True,True,True,True,True,True,True,True,2.162508e+01,1.365827e+01,1.037376e+00,1.037376e+00,2.074751e+00,True,True,True,4.9698,7.937099e-01,7.937099e-01,3.271262,True,2.471209,
ff,-40,1.0,0.9,"ff,-40,1.0",True,True,True,False,True,True,True,True,True,True,True,True,True,2.162508e+01,1.365827e+01,1.037376e+00,1.037376e+00,2.074751e+00,True,True,True,4.9698,7.937099e-01,7.937099e-01,3.332908,True,2.505692,
ff,-40,1.0,1.0,"ff,-40,1.0",True,True,True,False,True,True,True,True,True,True,True,True,True,2.162508e+01,1.365827e+01,1.037376e+00,1.037376e+00,2.074751e+00,True,True,True,4.9698,7.937099e-01,7.937099e-01,3.382944,True,2.541275,
ff,-40,1.0,1.1,"ff,-40,1.0",True,True,True,False,True,True,True,True,True,True,True,True,True,2.162508e+01,1.365827e+01,1.037376e+00,1.037376e+00,2.074751e+00,True,True,True,4.9698,7.937099e-01,7.937099e-01,3.421936,True,2.573919,
ff,-40,1.0,1.2,"ff,-40,1.0",True,True,True,False,True,True,True,True,True,True,True,True,True,2.162508e+01,1.365827e+01,1.037376e+00,1.037376e+00,2.074751e+00,True,True,True,4.9698,7.937099e-01,7.937099e-01,3.453836,True,2.59844,
ff,-40,1.0,1.3,"ff,-40,1.0",True,True,True,False,True,True,True,True,True,True,True,True,True,2.162508e+01,1.365827e+01,1.037376e+00,1.037376e+00,2.074751e+00,True,True,True,4.9698,7.937099e-01,7.937099e-01,3.476168,True,2.610793,
ff,-40,1.0,1.4,"ff,-40,1.0",True,True,True,False,True,True,True,True,True,True,True,True,True,2.162508e+01,1.365827e+01,1.037376e+00,1.037376e+00,2.074751e+00,True,True,True,4.9698,7.937099e-01,7.937099e-01,3.487074,True,2.616341,
ff,-40,1.0,1.5,"ff,-40,1.0",True,True,True,False,True,True,True,True,True,True,True,True,True,2.162508e+01,1.365827e+01,1.037376e+00,1.037376e+00,2.074751e+00,True,True,True,4.9698,7.937099e-01,7.937099e-01,3.490998,True,2.618191,
ff,-40,1.0,1.6,"ff,-40,1.0",True,True,True,False,True,True,True,True,True,True,True,True,True,2.162508e+01,1.365827e+01,1.037376e+00,1.037376e+00,2.074751e+00,True,True,True,4.9698,7.937099e-01,7.937099e-01,3.492244,True,2.617948,
ff,-40,1.0,1.7,"ff,-40,1.0",True,True,True,False,True,True,True,True,True,True,True,True,True,2.162508e+01,1.365827e+01,1.037376e+00,1.037376e+00,2.074751e+00,True,True,True,4.9698,7.937099e-01,7.937099e-01,3.492662,True,2.618733,
ff,-40,1.0,1.8,"ff,-40,1.0",True,True,True,False,True,True,True,True,True,True,True,True,True,2.162508e+01,1.365827e+01,1.037376e+00,1.037376e+00,2.074751e+00,True,True,True,4.9698,7.937099e-01,7.937099e-01,3.492728,True,2.618738,
ff,-40,1.1,0.0,"ff,-40,1.1",True,True,True,True,True,True,True,True,True,True,True,True,True,2.378983e+01,1.492332e+01,1.182823e+00,1.182823e+00,2.365646e+00,True,True,True,5.5278,7.998331e-01,7.998331e-01,3.084764,True,2.203709,
ff,-40,1.1,0.1,"ff,-40,1.1",True,True,True,True,True,True,True,True,True,True,True,True,True,2.378983e+01,1.492332e+01,1.182823e+00,1.182823e+00,2.365646e+00,True,True,True,5.5278,7.998331e-01,7.998331e-01,3.066628,True,2.234171,
ff,-40,1.1,0.2,"ff,-40,1.1",True,True,True,True,True,True,True,True,True,True,True,True,True,2.378983e+01,1.492332e+01,1.182823e+00,1.182823e+00,2.365646e+00,True,True,True,5.5278,7.998331e-01,7.998331e-01,3.05679,True,2.268725,
ff,-40,1.1,0.3,"ff,-40,1.1",True,True,True,True,True,True,True,True,True,True,True,True,True,2.378983e+01,1.492332e+01,1.182823e+00,1.182823e+00,2.365646e+00,True,True,True,5.5278,7.998331e-01,7.998331e-01,3.052894,True,2.303167,
ff,-40,1.1,0.4,"ff,-40,1.1",True,True,True,True,True,True,True,True,True,True,True,True,True,2.378983e+01,1.492332e+01,1.182823e+00,1.182823e+00,2.365646e+00,True,True,True,5.5278,7.998331e-01,7.998331e-01,3.072894,True,2.335341,
ff,-40,1.1,0.5,"ff,-40,1.1",True,True,True,True,True,True,True,True,True,True,True,True,True,2.378983e+01,1.492332e+01,1.182823e+00,1.182823e+00,2.365646e+00,True,True,True,5.5278,7.998331e-01,7.998331e-01,3.12928,True,2.361337,
