process,temp,supply,control,corner name,iref
ff,100,1.0,0.9,"ff,100,1.0",8.731138e+01
ff,120,1.0,0.9,"ff,120,1.0",8.637625e+01
tt,-30,1.0,0.9,"tt,-30,1.0",8.714622e+01
tt,-20,0.9,0.9,"tt,-20,0.9",4.704103e-01
tt,-40,1.1,0.9,"tt,-40,1.1",8.931268e+01
tt,-40,1.0,0.9,"tt,-40,1.0",8.603870e+01
ff,110,0.9,0.9,"ff,110,0.9",8.515612e+01
ff,120,0.9,0.9,"ff,120,0.9",8.462678e+01
ff,100,1.1,0.9,"ff,100,1.1",8.865460e+01
tt,20,0.9,0.9,"tt,20,0.9",1.466167e+00
ff,110,1.1,0.9,"ff,110,1.1",8.824911e+01
tt,-30,0.9,0.9,"tt,-30,0.9",3.278124e-01
tt,-40,0.9,0.9,"tt,-40,0.9",2.218250e-01
tt,-30,1.1,0.9,"tt,-30,1.1",8.959699e+01
tt,-20,1.0,0.9,"tt,-20,1.0",8.793911e+01
tt,0,0.9,0.9,"tt,0,0.9",8.833094e-01
tt,-20,1.1,0.9,"tt,-20,1.1",8.981953e+01
tt,-10,1.0,0.9,"tt,-10,1.0",8.848958e+01
tt,-10,0.9,0.9,"tt,-10,0.9",6.547693e-01
tt,0,1.0,0.9,"tt,0,1.0",8.883929e+01
tt,-10,1.1,0.9,"tt,-10,1.1",8.999045e+01
tt,0,1.1,0.9,"tt,0,1.1",9.011373e+01
tt,10,1.0,0.9,"tt,10,1.0",8.902748e+01
tt,10,0.9,0.9,"tt,10,0.9",8.451578e+01
ff,120,1.1,0.9,"ff,120,1.1",8.780306e+01
tt,120,0.9,0.9,"tt,120,0.9",8.465617e+01
fs,30,1.1,0.9,"fs,30,1.1",8.685460e+01
fs,40,0.9,0.9,"fs,40,0.9",8.189443e+01
ss,110,1.0,0.9,"ss,110,1.0",4.348654e+00
sf,-30,1.0,0.9,"sf,-30,1.0",8.386038e+01
ss,60,1.1,0.9,"ss,60,1.1",8.949061e+01
ss,70,1.0,0.9,"ss,70,1.0",3.211217e+00
ss,80,1.1,0.9,"ss,80,1.1",8.903483e+01
ss,100,1.1,0.9,"ss,100,1.1",8.836880e+01
ss,70,1.1,0.9,"ss,70,1.1",8.928904e+01
ss,120,0.9,0.9,"ss,120,0.9",2.136179e+00
ss,80,0.9,0.9,"ss,80,0.9",1.291685e+00
sf,-40,0.9,0.9,"sf,-40,0.9",1.322238e-01
ss,90,0.9,0.9,"ss,90,0.9",8.519017e+01
ss,110,0.9,0.9,"ss,110,0.9",8.431602e+01
ss,90,1.0,0.9,"ss,90,1.0",3.798980e+00
ss,70,0.9,0.9,"ss,70,0.9",1.095388e+00
sf,-30,0.9,0.9,"sf,-30,0.9",1.977450e-01
sf,-30,1.1,0.9,"sf,-30,1.1",9.004408e+01
ss,100,0.9,0.9,"ss,100,0.9",1.706930e+00
ss,90,1.1,0.9,"ss,90,1.1",8.872797e+01
ss,120,1.0,0.9,"ss,120,1.0",8.588986e+01
ss,80,1.0,0.9,"ss,80,1.0",3.509481e+00
ss,120,1.1,0.9,"ss,120,1.1",8.749710e+01
ss,100,1.0,0.9,"ss,100,1.0",4.078873e+00
sf,-40,1.0,0.9,"sf,-40,1.0",1.072393e+00
sf,-40,1.1,0.9,"sf,-40,1.1",8.953379e+01
sf,-20,0.9,0.9,"sf,-20,0.9",2.873556e-01
sf,-20,1.0,0.9,"sf,-20,1.0",8.587198e+01
sf,-20,1.1,0.9,"sf,-20,1.1",9.039344e+01
sf,-10,0.9,0.9,"sf,-10,0.9",4.055280e-01
ss,110,1.1,0.9,"ss,110,1.1",8.795807e+01
sf,-10,1.0,0.9,"sf,-10,1.0",8.720551e+01
ss,60,1.0,0.9,"ss,60,1.0",2.905533e+00
ss,50,1.1,0.9,"ss,50,1.1",8.964221e+01
ss,-30,0.9,0.9,"ss,-30,0.9",5.189335e-02
ss,-20,1.1,0.9,"ss,-20,1.1",8.929518e+01
