process,temp,supply,control,UP,Down,corner name,i_out
ff,-40,0.9,0.0,0.0,0.0,"ff,-40,0.9",2.008824e-06
ff,-40,0.9,0.1,0.0,0.0,"ff,-40,0.9",1.585398e-06
ff,-40,0.9,0.2,0.0,0.0,"ff,-40,0.9",1.284306e-06
ff,-40,0.9,0.3,0.0,0.0,"ff,-40,0.9",1.042721e-06
ff,-40,0.9,0.4,0.0,0.0,"ff,-40,0.9",8.260059e-07
ff,-40,0.9,0.5,0.0,0.0,"ff,-40,0.9",6.217249e-07
ff,-40,0.9,0.6,0.0,0.0,"ff,-40,0.9",4.192202e-07
ff,-40,0.9,0.7,0.0,0.0,"ff,-40,0.9",2.202682e-07
ff,-40,0.9,0.8,0.0,0.0,"ff,-40,0.9",2.131628e-08
ff,-40,0.9,0.9,0.0,0.0,"ff,-40,0.9",-1.77636e-07
ff,-40,0.9,1.0,0.0,0.0,"ff,-40,0.9",-3.76588e-07
ff,-40,0.9,1.1,0.0,0.0,"ff,-40,0.9",-5.82645e-07
ff,-40,0.9,1.2,0.0,0.0,"ff,-40,0.9",-7.74492e-07
ff,-40,0.9,1.3,0.0,0.0,"ff,-40,0.9",-9.80549e-07
ff,-40,0.9,1.4,0.0,0.0,"ff,-40,0.9",-1.1795e-06
ff,-40,0.9,1.5,0.0,0.0,"ff,-40,0.9",-1.37845e-06
ff,-40,0.9,1.6,0.0,0.0,"ff,-40,0.9",-2.21689e-06
ff,-40,0.9,1.7,0.0,0.0,"ff,-40,0.9",-3.95701e-05
ff,-40,0.9,1.8,0.0,0.0,"ff,-40,0.9",-0.000831562
ff,-40,1.0,0.0,0.0,0.0,"ff,-40,1.0",3.242489e-06
ff,-40,1.0,0.1,0.0,0.0,"ff,-40,1.0",2.316813e-06
ff,-40,1.0,0.2,0.0,0.0,"ff,-40,1.0",1.728395e-06
ff,-40,1.0,0.3,0.0,0.0,"ff,-40,1.0",1.339373e-06
ff,-40,1.0,0.4,0.0,0.0,"ff,-40,1.0",1.051603e-06
ff,-40,1.0,0.5,0.0,0.0,"ff,-40,1.0",8.206769e-07
ff,-40,1.0,0.6,0.0,0.0,"ff,-40,1.0",6.039613e-07
ff,-40,1.0,0.7,0.0,0.0,"ff,-40,1.0",3.979039e-07
ff,-40,1.0,0.8,0.0,0.0,"ff,-40,1.0",1.953993e-07
ff,-40,1.0,0.9,0.0,0.0,"ff,-40,1.0",-3.55271e-09
ff,-40,1.0,1.0,0.0,0.0,"ff,-40,1.0",-1.91847e-07
ff,-40,1.0,1.1,0.0,0.0,"ff,-40,1.0",-3.97904e-07
ff,-40,1.0,1.2,0.0,0.0,"ff,-40,1.0",-5.8975e-07
ff,-40,1.0,1.3,0.0,0.0,"ff,-40,1.0",-7.95808e-07
ff,-40,1.0,1.4,0.0,0.0,"ff,-40,1.0",-9.9476e-07
ff,-40,1.0,1.5,0.0,0.0,"ff,-40,1.0",-1.18661e-06
ff,-40,1.0,1.6,0.0,0.0,"ff,-40,1.0",-1.40687e-06
ff,-40,1.0,1.7,0.0,0.0,"ff,-40,1.0",-1.64135e-06
ff,-40,1.0,1.8,0.0,0.0,"ff,-40,1.0",-5.50671e-06
ff,-40,1.1,0.0,0.0,0.0,"ff,-40,1.1",6.312588e-06
ff,-40,1.1,0.1,0.0,0.0,"ff,-40,1.1",4.184209e-06
ff,-40,1.1,0.2,0.0,0.0,"ff,-40,1.1",2.839506e-06
ff,-40,1.1,0.3,0.0,0.0,"ff,-40,1.1",1.998401e-06
ff,-40,1.1,0.4,0.0,0.0,"ff,-40,1.1",1.458389e-06
ff,-40,1.1,0.5,0.0,0.0,"ff,-40,1.1",1.097789e-06
ff,-40,1.1,0.6,0.0,0.0,"ff,-40,1.1",8.242296e-07
ff,-40,1.1,0.7,0.0,0.0,"ff,-40,1.1",5.933032e-07
ff,-40,1.1,0.8,0.0,0.0,"ff,-40,1.1",3.836931e-07
ff,-40,1.1,0.9,0.0,0.0,"ff,-40,1.1",1.811884e-07
ff,-40,1.1,1.0,0.0,0.0,"ff,-40,1.1",-1.42109e-08
ff,-40,1.1,1.1,0.0,0.0,"ff,-40,1.1",-2.27374e-07
ff,-40,1.1,1.2,0.0,0.0,"ff,-40,1.1",-4.26326e-07
ff,-40,1.1,1.3,0.0,0.0,"ff,-40,1.1",-6.25278e-07
ff,-40,1.1,1.4,0.0,0.0,"ff,-40,1.1",-8.2423e-07
ff,-40,1.1,1.5,0.0,0.0,"ff,-40,1.1",-1.01608e-06
ff,-40,1.1,1.6,0.0,0.0,"ff,-40,1.1",-1.22924e-06
ff,-40,1.1,1.7,0.0,0.0,"ff,-40,1.1",-1.42109e-06
ff,-40,1.1,1.8,0.0,0.0,"ff,-40,1.1",-1.62004e-06
ff,125,0.9,0.0,0.0,0.0,"ff,125,0.9",0.0002057691
ff,125,0.9,0.1,0.0,0.0,"ff,125,0.9",4.377121e-05
ff,125,0.9,0.2,0.0,0.0,"ff,125,0.9",3.062883e-05
ff,125,0.9,0.3,0.0,0.0,"ff,125,0.9",2.780709e-05
ff,125,0.9,0.4,0.0,0.0,"ff,125,0.9",2.531308e-05
ff,125,0.9,0.5,0.0,0.0,"ff,125,0.9",2.256328e-05
ff,125,0.9,0.6,0.0,0.0,"ff,125,0.9",1.9444e-05
ff,125,0.9,0.7,0.0,0.0,"ff,125,0.9",1.592326e-05
ff,125,0.9,0.8,0.0,0.0,"ff,125,0.9",1.194067e-05
ff,125,0.9,0.9,0.0,0.0,"ff,125,0.9",7.453593e-06
ff,125,0.9,1.0,0.0,0.0,"ff,125,0.9",2.415845e-06
ff,125,0.9,1.1,0.0,0.0,"ff,125,0.9",-3.6664e-06
ff,125,0.9,1.2,0.0,0.0,"ff,125,0.9",-1.82254e-05
ff,125,0.9,1.3,0.0,0.0,"ff,125,0.9",-0.000162728
ff,125,0.9,1.4,0.0,0.0,"ff,125,0.9",-0.00203806
ff,125,0.9,1.5,0.0,0.0,"ff,125,0.9",-0.0193466
ff,125,0.9,1.6,0.0,0.0,"ff,125,0.9",-0.121478
ff,125,0.9,1.7,0.0,0.0,"ff,125,0.9",-0.594989
ff,125,0.9,1.8,0.0,0.0,"ff,125,0.9",-2.78642
ff,125,1.0,0.0,0.0,0.0,"ff,125,1.0",0.0002080109
ff,125,1.0,0.1,0.0,0.0,"ff,125,1.0",4.473399e-05
ff,125,1.0,0.2,0.0,0.0,"ff,125,1.0",3.130829e-05
ff,125,1.0,0.3,0.0,0.0,"ff,125,1.0",2.843237e-05
ff,125,1.0,0.4,0.0,0.0,"ff,125,1.0",2.598632e-05
ff,125,1.0,0.5,0.0,0.0,"ff,125,1.0",2.332712e-05
