process,temp,supply,control,corner name,Power (mW),vn,vp,differential swing,Oscillation Status,freq (GHZ),failed corners
ff,-40,1.1,0.7,"ff,-40,1.1",4.636800000000001,7.929896e-01,7.926819e-01,3.004812,True,2.505205,
ff,-40,1.1,0.8,"ff,-40,1.1",2304.5400000000004,-4.76866e-02,1.288279e+00,3.068782,True,2.5349,
ff,-40,1.1,0.9,"ff,-40,1.1",4.6296,7.929311e-01,7.929622e-01,3.12526,True,2.565755,
ff,-40,1.1,1.0,"ff,-40,1.1",4.6422,7.931524e-01,7.931682e-01,3.174422,True,2.593163,
ff,-40,1.1,1.1,"ff,-40,1.1",64.80720000000001,-2.82563e-02,1.550363e+00,3.212776,True,2.613953,
ff,-40,1.1,1.2,"ff,-40,1.1",4.644,7.926540e-01,7.926889e-01,3.237872,True,2.625863,
ff,-40,1.1,1.3,"ff,-40,1.1",4.631400000000001,7.927544e-01,7.927265e-01,3.24987,True,2.63088,
ff,-40,1.1,1.4,"ff,-40,1.1",-211.5576,1.131007e+00,1.253365e-01,3.2538,True,2.632334,
ff,-40,1.1,1.5,"ff,-40,1.1",47.574,1.352607e+00,-2.26529e-02,3.254998,True,2.632453,
ff,-40,1.1,1.6,"ff,-40,1.1",4.6458,7.928587e-01,7.928762e-01,3.255364,True,2.632839,
ff,-40,1.1,1.7,"ff,-40,1.1",29.9736,1.227405e+00,8.981054e-02,3.255492,True,2.632719,
ff,-40,1.1,1.8,"ff,-40,1.1",-6339.0726,2.949415e-01,8.978359e-01,3.25554,True,2.632783,
ff,125,0.9,0.0,"ff,125,0.9",4.7466,7.149071e-01,7.149057e-01,2.5702,True,2.24377,
ff,125,0.9,0.1,"ff,125,0.9",16.5024,1.061672e+00,4.489612e-03,2.55881,True,2.275194,
ff,125,0.9,0.2,"ff,125,0.9",-15420.196800000002,3.848763e-03,1.213971e+00,2.55021,True,2.313032,
ff,125,0.9,0.3,"ff,125,0.9",13548.384,1.121738e+00,1.229964e-01,2.548826,True,2.355291,
ff,125,0.9,0.4,"ff,125,0.9",4.7412,7.148707e-01,7.148771e-01,2.55789,True,2.397536,
ff,125,0.9,0.5,"ff,125,0.9",4.739400000000001,7.149016e-01,7.149001e-01,2.580552,True,2.438427,
ff,125,0.9,0.6,"ff,125,0.9",4.7501999999999995,7.149333e-01,7.149210e-01,2.616392,True,2.475727,
ff,125,0.9,0.7,"ff,125,0.9",4.7628,7.149772e-01,7.149820e-01,2.659906,True,2.509609,
ff,125,0.9,0.8,"ff,125,0.9",4.7646,7.148989e-01,7.149144e-01,2.70409,True,2.540219,
ff,125,0.9,0.9,"ff,125,0.9",4.7304,7.148483e-01,7.148263e-01,2.743654,True,2.567773,
ff,125,0.9,1.0,"ff,125,0.9",-76.8132,1.015995e+00,1.692500e-01,2.775628,True,2.589703,
ff,125,0.9,1.1,"ff,125,0.9",4.7412,7.148811e-01,7.148318e-01,2.79889,True,2.605884,
ff,125,0.9,1.2,"ff,125,0.9",4.7412,7.148956e-01,7.148788e-01,2.81394,True,2.615659,
ff,125,0.9,1.3,"ff,125,0.9",4.748400000000001,7.148771e-01,7.148748e-01,2.822606,True,2.621641,
ff,125,0.9,1.4,"ff,125,0.9",4.7412,7.148457e-01,7.148448e-01,2.82709,True,2.624376,
ff,125,0.9,1.5,"ff,125,0.9",80.8524,4.822740e-01,7.455999e-01,2.829342,True,2.625773,
ff,125,0.9,1.6,"ff,125,0.9",37.328399999999995,-1.12164e-02,1.350987e+00,2.830422,True,2.626366,
ff,125,0.9,1.7,"ff,125,0.9",-51.107400000000005,8.635762e-01,3.565335e-01,2.830938,True,2.626534,
ff,125,0.9,1.8,"ff,125,0.9",-11.439000000000002,1.264888e+00,5.338969e-02,2.831174,True,2.626911,
ff,125,1.0,0.0,"ff,125,1.0",592.3602,6.806148e-01,6.031556e-01,2.609568,True,2.235588,
ff,125,1.0,0.1,"ff,125,1.0",43653.060000000005,-8.75962e-02,1.186033e+00,2.596614,True,2.266363,
ff,125,1.0,0.2,"ff,125,1.0",29159.280000000002,1.179132e+00,-8.26857e-02,2.586458,True,2.303153,
